   Frequency_GHz   Transmission    Conductivity_S/m      n               k
   1.2358000e+02   6.2872125e-01   2.5087300e-01   1.6124615e+00   5.6602193e-03
   1.2367000e+02   6.3714080e-01   2.5125883e-01   1.6124615e+00   5.6647988e-03
   1.2376000e+02   6.3893841e-01   2.5164496e-01   1.6124615e+00   5.6693783e-03
   1.2385000e+02   6.3476415e-01   2.5203138e-01   1.6124615e+00   5.6739579e-03
   1.2394000e+02   6.3787861e-01   2.5241809e-01   1.6124615e+00   5.6785375e-03
   1.2403000e+02   6.3800549e-01   2.5280511e-01   1.6124616e+00   5.6831171e-03
   1.2412000e+02   6.3138164e-01   2.5319242e-01   1.6124616e+00   5.6876967e-03
   1.2421000e+02   6.3037760e-01   2.5358003e-01   1.6124616e+00   5.6922763e-03
   1.2430000e+02   6.3268101e-01   2.5396793e-01   1.6124616e+00   5.6968559e-03
   1.2439000e+02   6.3028679e-01   2.5435613e-01   1.6124616e+00   5.7014356e-03
   1.2448000e+02   6.2976128e-01   2.5474463e-01   1.6124616e+00   5.7060153e-03
   1.2457000e+02   6.3105049e-01   2.5513342e-01   1.6124617e+00   5.7105950e-03
   1.2466000e+02   6.2452743e-01   2.5552251e-01   1.6124617e+00   5.7151747e-03
   1.2475000e+02   6.2022659e-01   2.5591190e-01   1.6124617e+00   5.7197544e-03
   1.2484000e+02   6.1890186e-01   2.5630158e-01   1.6124617e+00   5.7243342e-03
   1.2493000e+02   6.1608349e-01   2.5669156e-01   1.6124617e+00   5.7289140e-03
   1.2502000e+02   6.1717892e-01   2.5708183e-01   1.6124617e+00   5.7334937e-03
   1.2511000e+02   6.1994056e-01   2.5747240e-01   1.6124618e+00   5.7380736e-03
   1.2520000e+02   6.1662730e-01   2.5786327e-01   1.6124618e+00   5.7426534e-03
   1.2529000e+02   6.0689958e-01   2.5825444e-01   1.6124618e+00   5.7472332e-03
   1.2538000e+02   6.1331816e-01   2.5864590e-01   1.6124618e+00   5.7518131e-03
   1.2547000e+02   6.1128416e-01   2.5903766e-01   1.6124618e+00   5.7563930e-03
   1.2556000e+02   6.0032903e-01   2.5942971e-01   1.6124618e+00   5.7609728e-03
   1.2565000e+02   6.1470720e-01   2.5982206e-01   1.6124619e+00   5.7655528e-03
   1.2574000e+02   6.1812304e-01   2.6021471e-01   1.6124619e+00   5.7701327e-03
   1.2583000e+02   6.0829637e-01   2.6060765e-01   1.6124619e+00   5.7747126e-03
   1.2592000e+02   6.2430014e-01   2.6100089e-01   1.6124619e+00   5.7792926e-03
   1.2601000e+02   6.3055142e-01   2.6139443e-01   1.6124619e+00   5.7838726e-03
   1.2610000e+02   6.2046258e-01   2.6178826e-01   1.6124619e+00   5.7884526e-03
   1.2619000e+02   6.3210086e-01   2.6218239e-01   1.6124620e+00   5.7930326e-03
   1.2628000e+02   6.4033222e-01   2.6257682e-01   1.6124620e+00   5.7976126e-03
   1.2637000e+02   6.3327158e-01   2.6297154e-01   1.6124620e+00   5.8021927e-03
   1.2646000e+02   6.4376303e-01   2.6336656e-01   1.6124620e+00   5.8067727e-03
   1.2655000e+02   6.4344478e-01   2.6376187e-01   1.6124620e+00   5.8113528e-03
   1.2664000e+02   6.3530295e-01   2.6415748e-01   1.6124620e+00   5.8159329e-03
   1.2673000e+02   6.4305780e-01   2.6455339e-01   1.6124621e+00   5.8205130e-03
   1.2682000e+02   6.4846299e-01   2.6494960e-01   1.6124621e+00   5.8250932e-03
   1.2691000e+02   6.4300381e-01   2.6534610e-01   1.6124621e+00   5.8296733e-03
